Site,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Bottom Substrate,Cover Score,Total,devel,grass,crop,wetland,forest,MU,Discharge1,Discharge2,Discharge3,Discharge4,Discharge5,Discharge6,Discharge7,Discharge8,Discharge9,Discharge10,Discharge11,Discharge12,Discharge13,Discharge14,Discharge15,Discharge16,Discharge17,Discharge18,Discharge19,Discharge20,Bait1,Bait2,Bait3,Bait4,Bait5,Bait6,Bait7,Bait8,Bait9,Bait10,Bait11,Bait12,Bait13,Bait14,Bait15,Bait16,Bait17,Bait18,Bait19,Bait20
59,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,13,13,80.5,0.0135861,0.036368,0.0099352,0.2357104,0.696473,F,1382.241025,1857.386377,1339.045993,709.262426,311.0042306,281.6316089,249.6672852,231.5253717,2583.062916,1874.66439,1572.299166,1166.265865,698.8956183,1995.61048,2272.058685,2151.112595,351.6075608,414.6723075,475.1453524,558.0798139,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
60,0,1,1,1,,,,,,,,,,,,,,,,,11,19,82,0.0158236,0.0377298,0.0120415,0.2123649,0.7173323,F,1079.651692,763.1655587,332.363364,240.2754255,133.3687384,115.3745435,105.3189641,99.07391996,521.8316511,658.3758356,532.4164716,391.6383588,487.9602254,1280.763282,1100.821333,300.6089024,72.40017228,73.24695792,70.91829741,140.7781128,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
61,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1,1,6,15,64,0.0130678,0.0390587,0.0121101,0.2079987,0.7212598,F,585.2995292,413.7264319,180.1804433,130.2578364,72.30170654,62.54671439,57.09539525,53.70983915,282.8947724,356.9179482,288.6330031,212.3145351,264.5324343,694.325912,596.7759905,162.9657513,39.24949784,39.70855629,38.44614554,76.31846802,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
62,,,,,0,0,0,0,,,,,,,,,,,,,4,15,58,0.0084124,0.0495498,0.0203799,0.1579572,0.7585713,F,271.2460875,191.733754,83.50124653,60.36555084,33.50686963,28.9861015,26.4597899,24.89081744,131.1022756,165.4069278,133.761551,98.39318859,122.5925944,321.7723194,276.5646382,75.52342043,18.18944351,18.40218554,17.81714496,35.36836238,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
63,,,,,,,,,,,,,,,,,1,0,1,0,1,14,62,0.0364036,0.1263686,0.0578214,0.0235429,0.751584,SS,216.0091084,183.3104819,198.173494,181.328747,124.8493012,110.9771566,101.0684819,96.01505783,648.0273253,588.5752771,469.6711807,419.1369398,539.0319036,933.3971566,815.4839277,807.556988,127.2718403,150.0994677,171.9889734,202.0088669,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
64,0,1,0,0,,,,,,,,,,,,,1,0,1,0,3,19,68,0.0107816,0.0372027,0.0042121,0.2511039,0.6866743,F,673.3014418,904.7488125,652.2607718,345.4878023,151.4928244,137.1851688,121.6150729,112.7779915,1258.232069,913.1650805,765.8803901,568.0980915,340.4380415,972.0789566,1106.739245,1047.825369,171.2710543,201.9904325,231.4473706,271.8454571,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
65,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,15,74,0.045758,0.1549246,0.0668773,0.0246297,0.7042919,SS,155.6208917,132.0636007,142.7714602,130.6358861,89.94601995,79.95201773,72.81344472,69.17277249,466.862675,424.0312369,338.3683608,301.9616384,388.3383719,672.4535777,587.5045589,581.7937005,91.69130605,108.1371668,123.9071703,145.5346037,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
66,1,0,0,1,,,,,,,,,,,,,0,0,0,1,13,20,86.5,0.0440307,0.1192932,0.0880718,0.0311806,0.7119227,SS,239.026125,202.8432712,219.2900229,200.6503709,138.1527144,122.8024128,111.8379117,106.2460161,717.0783749,651.291368,519.7173543,463.7983984,596.4688623,1032.856008,902.3784442,893.6068433,140.833389,166.0934318,190.3153906,223.5340769,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
67,,,,,,,,,,,,,,,,,0,0,0,0,3,12,61,0.0232256,0.0137606,0.0275861,0.8490534,0.0795947,MT,28.42711858,24.1239309,26.0799253,23.86313165,14.08315966,13.95276004,14.08315966,14.08315966,85.28135573,77.45737814,61.80942296,55.15904201,44.59667227,50.85585434,52.02945098,44.07507376,35.33829878,32.20870775,31.42630999,32.73030625,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
68,0,0,0,0,,,,,,,,,0,0,0,0,,,,,5,13,59.5,0.0982383,0.0606984,0.133121,0.3544684,0.3509014,MN,6879.514638,7014.738513,6904.869115,6524.551966,4614.514733,4006.007295,3169.309569,3194.664046,6718.936286,6828.805685,7014.738513,7141.510896,750.492506,738.6604169,797.8208622,821.4850403,666.8227333,633.0167646,596.6753482,646.5391521,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
69,,,,,,,,,,,,,0,0,0,0,,,,,7,18,90,0.0154434,0.0055316,0.112911,0.0562043,0.8084726,MN,168.5292932,131.3957201,105.4281865,86.73156229,93.48312103,75.3058475,61.28337934,140.4843569,209.5579963,176.0598779,142.8214349,122.5667587,17.37227999,17.50211766,19.76129309,23.68239066,17.16453972,15.00923443,13.71085775,23.05916986,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
70,,,,,1,1,1,,,,,,0,0,1,1,,,,,14,15,83,0.0914936,0.0330876,0.1868518,0.1167126,0.571086,L,792.4813732,617.8668333,495.7587635,407.8409532,439.5890514,354.1134025,288.1750448,660.6046578,985.4121235,827.8927134,671.5943841,576.3500896,81.69029871,82.30083906,92.92424114,111.3625597,80.71343416,70.57846436,64.47306087,108.431966,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
71,,,,,0,0,0,0,,,,,1,0,0,0,,,,,5,8,50,0.1067077,0.055307,0.1456003,0.3129332,0.3760254,MN,4964.326385,5522.813104,5740.002383,5874.452889,6370.885528,5181.515665,3754.271829,3257.83919,8356.616082,8201.480882,8067.030376,7932.57987,1582.379035,1437.586182,1354.847409,1303.135676,4509.263133,4116.253961,3609.478976,3195.785111,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
72,,,,,0,0,0,0,,,,,0,0,0,0,,,,,4,13,61.5,0.1064845,0.0551123,0.1469007,0.3126322,0.3754584,MN,4989.591236,5550.92025,5769.214867,5904.34963,6403.308753,5207.885853,3773.378372,3274.419249,8399.145248,8243.220522,8108.085759,7972.950996,1590.432207,1444.902462,1361.742608,1309.7677,4532.21204,4137.202733,3627.848628,3212.049358,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
73,1,0,0,1,1,1,0,0,,,,,,,,,,,,,7,13,72,0.0435894,0.0245969,0.1064438,0.736915,0.0728769,C,802.77289,597.9967068,385.68275,772.6217955,739.9581099,452.2664169,335.4309259,314.0739006,316.5864918,267.5909633,237.4398689,188.4443404,853.0247141,790.209934,560.3078387,404.527184,40.32708884,41.45775488,41.45775488,41.0808662,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
74,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,4,10.5,59.5,0.2430742,0.0134957,0.4862282,0.230185,0.0270168,C,956.9344341,712.8337882,459.7478424,920.9932347,882.0569354,539.1179911,399.8458434,374.3874938,377.3825937,318.9781447,283.0369453,224.6324963,1016.836433,941.9589344,667.9072889,482.211092,48.0713542,49.41914918,49.41914918,48.96988419,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
75,0,0,0,0,,,,,,,,,0,0,0,,,,,,15,18,88,0.0041187,0,0.0014611,0.9445371,0.0525139,C,632.2225953,470.9514169,303.743876,608.4771457,582.7529087,356.1817439,264.1681267,247.3484332,249.3272207,210.7408651,186.9954155,148.4090599,671.7983447,622.328658,441.2696049,318.584782,31.75953883,32.64999319,32.64999319,32.35317507,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
76,0,0,0,0,0,1,1,0,,,,,1,1,0,,1,1,0,0,7,13,74.5,0.3914674,0.0145298,0.2259997,0.3042711,0.0550451,C,1048.362776,780.9400337,503.6735092,1008.987649,966.3312602,590.6269163,438.0482962,410.1575807,413.4388414,349.4542588,310.079131,246.0945484,1113.987989,1031.956473,731.721124,528.282964,52.66423337,54.14080066,54.14080066,53.64861156,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
77,,,,,,,,,,,,,,,,,0,0,0,0,13,13,87,0.0322021,0.04433,0.1557692,0.760496,0.0466974,C,166.6769451,142.285197,234.7705751,485.8023155,341.4844728,187.0034018,155.4973939,143.3015199,284.570394,300.8315594,229.6889609,193.1013388,642.3160322,233.7542522,120.9424175,93.29843633,21.74930869,20.63135357,19.8182953,23.17216066,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
78,0,0,0,0,,,,,,,,,,,,,,,,,4,20,73,0.1059827,0.0199336,0.4304432,0.2516118,0.1920287,C,43.6615507,37.27205547,61.49889153,127.2574465,89.45293313,48.98613005,40.73303205,37.53828444,74.54411095,78.80377443,60.16774669,50.58350386,168.2567076,61.23266256,31.68124715,24.43981923,5.697299908,5.404448044,5.191464869,6.070020463,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
79,,,,,1,0,0,0,,,,,0,0,0,,0,0,0,0,7,18,78,0.1142385,0.0260134,0.5044686,0.161896,0.1923259,C,176.7818581,150.9113423,249.0037148,515.2544401,362.1872215,198.3406213,164.9245384,151.9892804,301.8226846,319.0696951,243.614024,204.8082502,681.2569166,247.9257766,128.2746409,98.95472301,168.1583528,136.8981462,111.0276304,96.1520838,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
80,1,1,1,1,,,,,,,,,1,1,,,0,1,1,0,8.5,15.5,78.5,0.0789157,0.0109065,0.2738493,0.5295404,0.103957,C,998.1547981,918.0109822,874.2961735,1012.726401,3788.616752,4502.625294,4364.195066,3788.616752,1041.869607,969.0115923,896.1535779,816.009762,518.749063,671.0223132,881.581975,1143.870827,1012.726401,998.1547981,954.4399894,896.1535779,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
81,0,0,0,0,0,0,0,,,,,,,,,,,,,,5,13,65,0.0980319,0.0623876,0.1089767,0.3634768,0.3651251,MN,5597.018668,5707.033777,5617.646501,5308.229007,3754.265593,3259.197603,2578.479116,2599.106949,5466.375727,5555.763003,5707.033777,5810.172942,610.5838547,600.9575327,649.0891429,668.3417869,542.5120061,515.0082288,485.4416683,526.0097397,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
82,0,0,0,0,1,1,1,1,1,1,1,1,,,,,1,1,1,1,13,20,87,0.2304357,0.0715562,0.3156482,0.2177944,0.1630453,L,1102.76832,1336.9846,1249.153495,1102.76832,169.8068033,130.7707565,107.3491285,100.5178203,540.6492471,481.1192759,472.3361654,428.4206128,64.79983756,70.75283469,63.92152651,54.5528753,64.50706721,56.40708752,51.52758168,86.66002373,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
83,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,7,13,61,0.1352318,0.1007128,0.2755821,0.2624856,0.224339,L,928.2198696,1125.363913,1051.434897,928.2198696,142.9294313,110.0720907,90.35768642,84.60765183,455.0741662,404.9667219,397.5738203,360.6093122,54.54318526,59.55392969,53.8038951,45.91813337,54.2967552,47.47885705,43.37168948,72.94329595,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
84,0,0,0,1,,,,,0,0,1,1,1,0,0,1,,,,,7,11.5,62.5,0.1293979,0.1039739,0.2708535,0.2624695,0.2316031,L,919.2511765,1114.490364,1041.275669,919.2511765,141.5484113,109.0085466,89.4846278,83.79015149,450.6771255,401.0538319,393.7323623,357.1250146,54.01617533,58.97850469,53.28402837,45.47446086,53.77212634,47.02010443,42.95262134,72.23849953,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
85,,1,1,1,,,,,1,1,0,0,,,,,1,1,1,1,3,15,53,0.0342714,0.0411038,0.0227983,0.4806331,0.3899341,L,443.1133147,537.2258771,501.9336662,443.1133147,68.23160775,52.54618068,43.13492444,40.3899747,217.2431649,193.3228886,189.7936675,172.1475621,26.03780893,28.42983656,25.68488683,21.92038433,25.92016823,22.66544211,20.70476373,34.82164809,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
86,,,,,1,0,0,1,,,,,1,0,0,0,,,,,4,13,50,0.0310457,0.0470016,0.0210778,0.4495933,0.4100424,L,402.003564,487.3848519,455.366869,402.003564,61.90143375,47.67121909,39.1330903,36.64280274,197.088473,175.3873956,172.1855973,156.1766058,23.62215633,25.79226406,23.3019765,19.88672498,23.51542972,20.56266018,18.78388334,31.59107653,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
87,,,,,0,0,0,0,,,,,,,,,0,0,0,0,1,11,57,0.044398,0.047506,0.026813,0.4679954,0.3332114,L,350.2732161,424.6675275,396.7696607,350.2732161,53.93587575,41.53682385,34.09739272,31.92755863,171.7268688,152.8183146,150.0285279,136.0795946,20.58242615,22.47328156,20.30344748,17.32767503,20.48943326,17.91662999,16.3667485,27.52589521,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
88,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,15,18,89,0.0598213,0.0854562,0.3419637,0.2393363,0.2691507,L,620.6118395,752.4232036,702.9939421,620.6118395,95.563239,73.59467831,60.4135419,56.56904378,304.2645656,270.7625105,265.8195843,241.1049536,36.46781074,39.81801625,35.97351813,30.70106356,36.30304654,31.7445702,28.99850011,48.77020473,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,3,4,5,6
89,,,,,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,15,20,93,0.1991374,0.1263309,0.2192261,0.2626559,0.1926498,L,274.9676781,333.367893,311.4678124,274.9676781,42.34015575,32.60678661,26.76676513,25.06342553,134.8071626,119.9637746,117.7737666,106.8237263,16.15739277,17.64173156,15.93839196,13.60238337,16.0843925,14.0647184,12.84804726,21.60807949,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
90,0,1,1,1,0,0,0,,,,,,0,1,1,1,,,,,14,20,95,0.08417,0.0558212,0.3747597,0.2313186,0.2478105,MN,527.644346,411.3837274,330.0825955,271.5457805,292.6840748,235.7732825,191.8706713,439.8391236,656.1001344,551.2216743,447.1562254,383.7413426,54.39045724,54.7969629,61.87016137,74.14663229,53.74004818,46.99205424,42.92699764,72.19540512,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
91,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,1,15,76,0.0566889,0.0456588,0.4267797,0.1386159,0.3291079,MN,242.756254,189.2675879,151.8629263,124.9315699,134.6567819,108.4735188,88.27500147,202.3592195,301.8556194,253.6036059,205.725639,176.5500029,25.02371864,25.21074194,28.46494751,34.11305141,24.72448134,21.61989443,19.74966134,33.21533953,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
92,0,0,0,0,,,,,,,,,,,,,,,,,1,10,67,0.0597985,0.0481622,0.4352269,0.1262685,0.3272223,MN,224.9856829,175.4125663,140.7460513,115.7861604,124.7994543,100.5328938,81.8129756,187.5458466,279.7587767,235.0389723,190.665833,163.6259512,23.19189859,23.36523117,26.38121798,31.61586176,22.91456647,20.03724572,18.30391997,30.7838654,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
93,,,,,,,,,,,,,0,0,0,0,,,,,13,13,66.5,0.0911656,0.054551,0.3704924,0.1712835,0.3084096,LT,2516.181833,2384.381833,2252.581832,2132.763649,15733.11835,17994.75411,19076.40599,19666.39793,24288.00145,23403.01354,21731.36972,19666.39793,2504.200015,2192.672741,1929.072739,1737.363647,3244.955659,4601.937116,5398.426232,5988.41817,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
94,1,0,0,0,,,,,,,,,1,1,0,1,,,,,7,20,87,0.0678719,0.0271532,0.4389151,0.1402768,0.3212587,LT,45.64284409,48.46935049,48.46935049,46.27095662,47.52718169,35.48835813,30.77751413,25.12450133,31.51031209,26.48541182,18.00589262,9.882303858,7.757189787,9.264659867,9.756681351,9.589184676,248.4325692,113.6696189,79.09999254,66.20962338,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
95,0,0,0,0,,,,,,,,,1,0,0,1,,,,,1,13,55,0.0655703,0.0655703,0.4098143,0.1639257,0.2951195,LT,14.48570372,15.38275418,15.38275418,14.68504827,15.08373736,11.26296689,9.767882787,7.973781867,10.00045142,8.405695051,5.714543671,3.136354201,2.461905151,2.940332063,3.096485292,3.043326746,78.84523114,36.07541236,25.10402407,21.01299792,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
96,,,,,,,,,,,,,1,1,1,0,1,1,0,0,7,18,84.5,0.0357122,0.0119017,0.3571047,0.1904833,0.4047981,LT,21.97921538,23.34031358,23.34031358,22.28168164,22.88661418,17.08934407,14.82084707,12.09865067,15.17372438,12.75399424,8.670699644,4.758802596,3.735458393,4.461377433,4.698309342,4.617651671,119.6321801,54.73736542,38.0904347,31.8831046,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
97,0,0,0,0,,,,,,,,,,,,,0,0,0,0,7,8,62,0.0565518,0.0450321,0.4041416,0.159337,0.3303222,LT,97.42809784,103.4614892,103.4614892,98.76885148,101.4503588,75.75258066,65.69692836,53.6301456,67.26114094,56.53511182,38.43493768,21.09452394,16.55830745,19.77611619,20.82637321,20.4688389,530.2980815,242.6363863,168.844908,141.3294415,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
98,0,0,0,0,,,,,,,,,,,,,,,,,1,19,81,0.0163934,0.0163934,0.3442623,0.0983607,0.5245902,LT,11.00206469,11.68338521,11.68338521,11.15346925,11.45627837,8.55435764,7.41882344,6.0561824,7.595462093,6.384225613,4.340264053,2.382098411,1.869846316,2.23321726,2.351817499,2.311442949,59.88389313,27.39970582,19.0668056,15.95962246,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
99,,,,,,,,,,,,,,,0,0,,,,,1,15,78,0.0240973,0.012045,0.3614061,0.1927777,0.409674,LT,19.01743153,20.19511651,20.19511651,19.2791393,19.80255485,14.78648919,12.82368089,10.46831093,13.12900663,11.03534444,7.502289502,4.117535634,3.232091001,3.860189657,4.065194079,3.99540534,103.5112835,47.3612948,32.95760205,27.58673357,1,2,3,4,1,2,3,4,1,2,3,4,0,0,1,2,1,2,3,4
100,,,,,,,,,,,,,0,0,0,0,,,,,3,15,80,0.0205017,0.0111771,0.1310302,0.7134693,0.1226557,LT,137.2867615,145.7884646,145.7884646,139.1760289,142.9545636,106.7436058,92.57410064,75.5706944,94.77824589,79.66410701,54.15899765,29.72447313,303.5422892,194.5945381,114.9304311,66.1243576,747.2475379,341.9009961,237.9207963,199.1485184,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
101,,,,,,,,,,,,,0,0,0,0,,,,,13,20,82.5,0.018226,0.0130787,0.1147701,0.7171708,0.1336581,LT,166.8227831,177.1535518,177.1535518,169.1185095,173.7099622,129.7085401,112.4905923,91.82905493,115.1689397,96.80312874,65.8108227,36.11942827,368.846704,236.4598165,139.6566877,80.35042307,908.0111775,415.4579444,289.1073325,241.993545,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
102,,,,,,,,,,,,,1,1,1,1,1,1,0,1,10,13,76,0.0928757,0.0518241,0.3653957,0.1739926,0.304457,LT,2589.459003,2453.820674,2318.182345,2194.874774,16191.30398,18518.80393,19631.95608,20239.12998,24995.32552,24084.56467,22364.23863,20239.12998,3774.597741,5322.891184,6385.445508,6152.695513,3339.456446,4735.956415,5555.641179,6162.815078,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
103,0,0,0,1,,,,,,,,,1,0,0,0,,,,,7,13,72.5,0.0153404,0.0220446,0.1300505,0.7084421,0.1229107,T,109.6660902,127.7324692,122.3442509,100.4744237,87.16235491,74.16724018,64.97557366,60.85517143,48.49396473,43.73965446,40.25316027,37.08362009,52.93132098,53.248275,51.98045893,47.8600567,96.98792946,75.43505625,55.78390714,42.15488438,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
104,0,0,0,0,,,,,,,,,0,0,0,0,,,,,1,12,74,0.0170741,0.0128178,0.232837,0.5437435,0.1925041,T,97.47898161,113.5376578,108.748228,89.30877795,77.4760692,65.92509161,57.75488795,54.09238286,43.10486759,38.87890018,35.77985741,32.9625458,47.04910384,47.330835,46.20391036,42.54140527,86.20973518,67.05201625,49.58468429,37.47024438,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
105,1,1,0,1,,,,,,,,,1,1,0,0,,,,,7,12,68,0.0070175,0.0045008,0.0470486,0.8952978,0.0459093,T,357.4074264,416.2866845,398.726204,327.4513126,284.0665961,241.7148491,211.7587353,198.3301326,158.0443244,142.5497828,131.1871189,120.8574245,172.5058966,173.538866,169.4069882,155.9783855,316.0886488,245.8467268,181.8026215,137.3849356,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
106,1,1,0,1,,,,,,,,,0,1,1,1,,,,,7,12,74,0.0068677,0.0038752,0.0462841,0.8992839,0.0435005,T,401.8468261,468.0470258,448.3031066,368.1660228,319.3869283,271.7692408,238.0884374,222.9901463,177.6952728,160.2741676,147.4986905,135.8846204,193.954971,195.116378,190.47075,175.3724588,355.3905456,276.4148688,204.4076341,154.4671326,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
107,1,1,0,1,,,,,,,,,1,1,0,0,,,,,7,18,74,0.0456785,0.037925,0.4129433,0.2710003,0.2319703,T,81.05225471,94.40479379,90.42245757,74.25885764,64.42014464,54.81568671,48.02228964,44.97697371,35.84102593,32.32719986,29.75039407,27.40784336,39.12059693,39.354852,38.41783171,35.37251579,71.68205186,55.752707,41.22889257,31.1559245,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
108,0,0,0,0,,,,,,,,,,,,,,,,,7,12,71.5,0.0322643,0.0285018,0.2555357,0.459331,0.22489,T,30.35433904,35.35490934,33.86351118,27.81018923,24.12555848,20.52865704,17.98450723,16.84402629,13.42258345,12.10664389,11.14162155,10.26432852,14.6507937,14.738523,14.38760579,13.24712484,26.84516689,20.87957425,15.44035743,11.66799738,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
109,,,,,,,,,,,,,0,1,0,0,,,,,4,15,73,0.0526086,0.009728,0.1155888,0.7517705,0.0694187,LN,198.5557373,221.2169899,229.8498481,238.4827062,296.7544987,252.5111007,221.2169899,207.1885954,165.103412,148.916803,137.046623,126.2555503,16.61825193,19.53184155,19.31602009,18.88437719,330.206824,256.8275298,189.9228791,143.5212666,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
110,,,,,,,,,,,,,0,0,0,0,,,,,7,15,58,0.0654891,0.0029465,0.1094877,0.7807053,0.0407031,LN,99.49099705,110.8459478,115.1716433,119.4973388,148.6957836,126.5265941,110.8459478,103.8166926,82.72892689,74.61824779,68.67041644,63.26329704,8.326963883,9.786886123,9.678743735,9.462458958,165.4578538,128.6894418,95.16530152,71.91468808,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
111,,,,,,,,,,,,,0,0,0,0,,,,,7,20,90,0.0025713,0.0025881,0.0265432,0.9157836,0.0511973,LN,48.26178276,53.76992101,55.86825939,57.96659777,72.13038185,61.37639764,53.76992101,50.36012114,40.13072154,36.19633707,33.3111218,30.68819882,4.039301383,4.747490587,4.695032127,4.590115208,80.26144307,62.42556683,46.16344438,34.88487558,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
112,,,,,,,,,,,,,0,0,0,0,,,,,4,15,75.5,0.0041786,0.0028355,0.0442912,0.86143,0.0842331,LN,40.94006133,45.61256833,47.392571,49.17257367,61.18759167,52.065078,45.61256833,42.720064,34.042551,30.705046,28.25754233,26.032539,3.426505133,4.027256033,3.982755967,3.893755833,68.085102,52.95507933,39.16005867,29.59254433,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
113,,,,,,,,,,,,,0,0,0,0,,,,,4,13,64,0.0990116,0.0439368,0.216542,0.3281649,0.3085149,LN,5615.999668,6389.111311,7278.91905,7993.682644,9642.015015,9394.035808,9058.53453,8241.661851,12821.98366,12661.52652,12398.96031,12107.22006,974.4124099,964.2015015,942.3209833,911.6882578,643.2872347,644.7459359,635.9937286,608.2784056,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
114,,,,,,,,,,,,,0,0,0,0,,,,,7,15,76,0.0980591,0.0438076,0.2162125,0.3295746,0.3085626,LN,5742.391633,6532.902689,7442.736168,8173.586012,9859.015245,9605.455095,9262.403127,8427.146162,13110.55129,12946.48295,12678.0075,12379.70144,996.3422365,985.9015245,963.5285701,932.2064339,657.7648597,659.25639,650.3072083,621.9681327,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
115,,0,0,0,,,,,,,,,,,,,,,,,7,13,76,0.0869125,0.0273394,0.3836771,0.2218021,0.2753889,C,302.5021473,244.8266406,254.2430499,247.1807429,94.28179765,95.57655393,104.7575529,96.75360508,117.1165901,111.1136292,106.6408348,102.0503353,62.85453177,60.73583969,58.14632714,56.96927599,183.6199804,149.4854969,121.2362691,104.9929632,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
116,,0,0,0,,,,,,,,,,,,,,,,,7,13,81,0.0923821,0.034618,0.3707562,0.1818564,0.3131744,C,211.6138799,171.2672647,177.8544672,172.9140653,65.95436491,66.86010525,73.28262767,67.68350556,81.92833094,77.72898935,74.60006817,71.38880696,43.9695766,42.48745604,40.67597536,39.85257505,128.4504485,104.5718395,84.81023203,73.44730774,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
117,,0,0,0,,,,,,,,,,,,,,,,,7,13,77,0.1082505,0.04336,0.4184197,0.1516574,0.274706,C,64.7830928,52.43145254,54.44804687,52.93560112,20.19115071,20.46843243,22.4346119,20.72050672,25.08139196,23.79581307,22.83793077,21.85484103,13.46076714,13.00703342,12.45246998,12.20039569,39.3235894,32.01343496,25.96365198,22.48502676,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
118,,0,0,0,,,,,,,,,,,,,,,,,7,13,82,0.0726918,0.0519494,0.4448252,0.151412,0.2776392,C,166.3591335,134.6408551,139.8193496,135.9354787,51.84967546,52.56171844,57.61075051,53.20903025,64.40752445,61.10623425,58.6464494,56.12193336,34.56645031,33.40128906,31.97720309,31.32989129,100.9806413,82.20859904,66.67311576,57.74021287,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
